Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
0,3,male,45,0,0,7.225,,C,Mr
0,3,male,28,0,0,56.4958,,S,Mr
0,3,male,31,0,0,7.775,,S,Mr
1,3,male,25,0,0,0.0,,S,Mr
1,1,female,41,0,0,134.5,E40,C,Miss
1,1,female,33,0,0,86.5,B77,S,Rare
1,3,female,4,0,1,13.4167,,C,Miss
0,3,male,33,0,0,7.775,,S,Mr
0,3,male,30,1,0,16.1,,S,Mr
0,3,male,32,0,0,8.3625,,S,Mr
0,3,male,34,0,0,8.05,,S,Mr
0,1,male,28,0,0,47.1,,S,Mr
0,3,male,33,0,0,9.5,,S,Mr
0,3,male,25,0,0,7.65,F G73,S,Mr
0,1,male,30,0,0,27.75,C111,C,Mr
1,3,female,36,1,0,17.4,,S,Mrs
0,3,female,43,3,1,25.4667,,S,Miss
0,3,male,7,4,1,29.125,,Q,Master
1,2,female,28,1,0,24.0,,C,Mrs
0,3,male,38,0,0,7.775,,S,Mr
0,1,male,46,0,0,79.2,B82 B84,C,Mr
1,2,female,27,1,0,13.8583,,C,Miss
1,3,female,33,3,0,15.85,,S,Mrs
1,1,male,48,0,0,26.55,E12,S,Mr
0,2,male,31,1,1,37.0042,,C,Mr
0,3,male,24,0,0,8.05,,S,Mr
0,3,male,9,4,2,31.3875,,S,Master
1,1,male,25,1,0,91.0792,B49,C,Mr
0,2,male,25,0,0,13.0,,S,Mr
0,1,male,36,0,0,40.125,A10,C,Mr
1,3,male,29,0,0,7.8958,,C,Mr
0,3,male,25,0,0,7.8958,,S,Mr
1,2,female,5,1,2,27.75,,S,Miss
1,1,female,33,1,0,53.1,E8,S,Mrs
1,2,female,50,0,0,10.5,,S,Miss
1,1,female,40,0,0,153.4625,C125,S,Miss
0,3,male,21,0,0,8.6625,,S,Mr
0,2,male,25,1,0,26.0,,S,Mr
0,3,male,18,0,0,8.3,,S,Mr
1,3,male,26,0,0,56.4958,,S,Mr
1,3,male,16,0,0,8.05,,S,Mr
0,3,male,51,0,0,8.05,,S,Mr
0,3,male,22,0,0,7.25,,S,Mr
0,3,male,22,0,0,9.35,,S,Mr
0,1,male,39,0,0,0.0,A36,S,Mr
0,3,female,42,0,0,7.75,,Q,Miss
0,3,male,40,0,0,7.8958,,C,Mr
1,3,female,35,1,1,20.25,,S,Mrs
1,1,female,19,0,0,30.0,B42,S,Miss
0,3,female,24,0,0,8.85,,S,Miss
0,1,male,44,2,0,90.0,C78,Q,Rare
1,1,male,45,0,0,26.55,,S,Mr
0,3,male,31,0,0,7.75,,Q,Mr
0,3,male,20,0,0,7.8958,,S,Mr
0,3,male,16,0,0,7.775,,S,Mr
0,3,female,25,1,0,7.925,,S,Miss
1,3,male,44,0,0,7.925,,S,Mr
0,3,female,2,0,1,10.4625,G6,S,Miss
0,3,male,39,0,0,24.15,,S,Mr
0,3,male,28,0,0,8.05,,S,Mr
0,3,male,17,0,0,8.6625,,S,Mr
0,2,male,24,2,0,73.5,,S,Mr
0,2,male,16,0,0,0.0,,S,Mr
1,3,male,39,0,0,7.925,,S,Mr
0,2,male,54,1,0,26.0,,S,Rare
0,3,male,38,0,0,8.6625,,S,Mr
0,3,male,18,0,0,7.75,,S,Mr
1,3,female,15,0,0,8.0292,,Q,Miss
0,2,male,29,0,0,10.5,,S,Mr
1,3,male,29,0,0,7.2292,,C,Mr
0,3,male,26,0,0,7.775,,S,Mr
0,2,male,54,0,0,14.0,,S,Rare
1,3,female,0,2,1,19.2583,,C,Miss
0,1,male,19,1,0,53.1,D30,S,Mr
0,3,female,17,0,0,14.4583,,C,Miss
0,3,male,29,8,2,69.55,,S,Mr
0,3,male,39,0,0,8.05,,S,Mr
1,2,female,17,0,0,12.0,,C,Miss
1,3,female,40,0,0,7.75,,Q,Miss
0,2,male,48,0,0,13.0,,S,Mr
0,3,female,37,1,2,23.45,,S,Miss
0,3,female,38,8,2,69.55,,S,Miss
0,3,male,2,4,1,29.125,,Q,Master
1,3,female,30,0,0,7.225,,C,Mrs
0,2,male,70,0,0,10.5,,S,Mr
0,1,female,50,0,0,28.7125,C49,C,Miss
0,3,male,11,0,0,18.7875,,C,Mr
1,1,female,31,0,2,164.8667,C7,S,Miss
1,3,male,32,0,0,7.925,,S,Mr
0,3,male,7,4,1,39.6875,,S,Master
1,1,female,39,1,0,55.9,E44,S,Mrs
1,3,female,43,1,0,16.1,,S,Mrs
0,3,female,40,1,0,9.475,,S,Mrs
0,3,male,2,4,1,39.6875,,S,Master
0,3,male,22,0,0,9.0,,S,Mr
1,3,female,5,4,2,31.3875,,S,Miss
1,2,female,24,1,2,65.0,,S,Miss
0,3,male,21,0,0,16.1,,S,Mr
0,3,male,21,0,0,7.25,,S,Mr
0,1,male,42,1,0,52.0,,S,Mr
0,3,male,32,0,0,7.75,,Q,Mr
1,1,male,38,0,0,29.7,C47,C,Mr
1,3,male,32,0,0,8.05,E10,S,Mr
1,3,female,2,0,1,12.2875,,S,Miss
0,3,male,25,0,0,7.8958,,S,Mr
0,1,male,62,0,0,26.55,C87,S,Mr
0,3,male,36,0,0,7.8958,,S,Mr
0,3,male,20,0,0,8.6625,,S,Mr
0,1,male,37,0,1,29.7,C118,C,Mr
0,3,male,43,0,0,6.45,,S,Mr
0,3,male,24,0,0,8.05,,S,Mr
1,1,male,38,1,0,90.0,C93,S,Mr
0,3,male,34,0,0,6.4958,,S,Mr
0,3,male,40,0,0,7.225,,C,Mr
0,3,male,33,0,0,8.05,,S,Mr
0,3,male,22,0,0,7.3125,,S,Mr
0,3,male,20,0,0,4.0125,,C,Mr
1,2,female,48,1,2,65.0,,S,Mrs
1,1,female,16,0,1,57.9792,B18,C,Miss
1,1,female,23,3,2,263.0,C23 C25 C27,S,Miss
0,1,male,49,1,1,110.8833,C68,C,Mr
1,3,male,9,1,1,15.9,,S,Master
0,1,male,19,3,2,263.0,C23 C25 C27,S,Mr
1,3,female,42,1,0,15.5,,Q,Mrs
0,3,male,23,0,0,7.2292,,C,Mr
0,1,male,35,0,0,39.6,,C,Rare
0,2,male,16,0,0,0.0,,S,Mr
0,3,male,32,1,0,19.9667,,S,Mr
1,2,female,24,2,3,18.75,,S,Mrs
0,1,female,25,1,2,151.55,C22 C26,S,Mrs
1,3,female,4,0,2,22.025,,S,Miss
1,1,female,44,0,0,27.7208,B4,C,Mrs
1,2,female,23,0,0,13.7917,D,C,Mrs
0,3,male,20,0,0,9.5,,S,Mr
1,3,male,20,1,1,15.7417,,C,Mr
0,1,male,42,0,0,27.7208,,C,Mr
1,2,male,3,1,1,18.75,,S,Master
1,2,female,28,0,0,13.0,,S,Miss
1,1,female,30,0,0,106.425,,C,Miss
0,3,male,25,0,0,7.05,,S,Mr
1,1,female,18,1,0,227.525,C62 C64,C,Mrs
0,3,male,35,0,0,7.75,,Q,Mr
1,2,female,22,1,2,41.5792,,C,Mrs
0,2,male,32,1,0,30.0708,,C,Mr
1,3,male,31,0,0,7.925,,S,Mr
1,2,male,34,0,0,13.0,D56,S,Mr
0,3,male,36,0,0,7.4958,,S,Mr
0,2,male,34,0,0,13.0,,S,Mr
1,1,female,30,0,0,86.5,B77,S,Miss
0,2,male,36,0,0,0.0,,S,Mr
0,3,male,41,0,0,7.125,,S,Mr
1,2,female,15,0,0,33.0,,S,Miss
1,2,male,0,1,1,18.75,,S,Master
0,2,female,27,1,0,21.0,,S,Mrs
0,3,male,59,0,0,7.25,,S,Mr
1,1,male,27,1,0,53.1,E8,S,Mr
1,3,female,23,1,0,15.5,,Q,Miss
0,3,male,32,0,0,6.8583,,Q,Mr
0,3,male,15,1,0,16.1,,S,Mr
0,3,male,30,0,0,7.75,,Q,Mr
1,2,male,24,0,0,13.8625,,C,Mr
0,3,male,24,0,0,7.8958,,S,Mr
0,2,male,25,0,0,13.0,,S,Mr
1,3,female,23,0,0,7.55,,S,Miss
0,2,male,16,0,0,10.5,,S,Mr
1,3,female,24,0,3,19.2583,,C,Mrs
0,3,male,22,1,0,7.25,,S,Mr
1,1,male,80,0,0,30.0,A23,S,Mr
0,3,male,26,1,2,20.575,,S,Mr
0,3,male,26,2,0,8.6625,,S,Mr
0,2,male,24,0,0,10.5,,S,Mr
0,3,male,38,0,0,15.5,,Q,Mr
0,3,male,51,0,0,7.0542,,S,Mr
0,3,male,33,0,0,7.8958,,C,Mr
0,3,male,20,0,0,7.8542,,S,Mr
0,2,male,30,0,0,13.0,,S,Mr
1,1,female,36,1,2,120.0,B96 B98,S,Mrs
1,3,male,29,0,0,7.75,,Q,Mr
1,3,male,3,4,2,31.3875,,S,Master
1,2,female,24,2,1,27.0,,S,Mrs
0,3,male,37,2,0,7.925,,S,Mr
0,3,female,8,3,1,21.075,,S,Miss
1,1,female,24,3,2,263.0,C23 C25 C27,S,Miss
1,1,male,35,0,0,26.2875,E24,S,Mr
1,2,female,31,0,0,12.35,E101,Q,Miss
1,2,female,40,0,0,15.75,,S,Mrs
0,2,male,44,1,0,26.0,,S,Mr
1,3,female,18,0,0,7.4958,,S,Miss
1,1,female,38,1,0,71.2833,C85,C,Mrs
0,2,male,24,0,0,13.0,,S,Mr
0,3,male,19,0,0,7.8958,,S,Mr
0,3,male,48,0,0,7.8542,,S,Mr
1,1,female,39,1,1,79.65,E67,S,Mrs
0,2,male,31,1,1,26.25,,S,Mr
0,3,female,41,0,5,39.6875,,S,Mrs
0,1,female,2,1,2,151.55,C22 C26,S,Miss
0,2,male,30,0,0,10.5,,S,Mr
1,3,female,27,0,0,7.925,,S,Miss
0,3,male,42,0,0,8.6625,,S,Mr
0,2,male,43,1,1,26.25,,S,Mr
0,3,male,28,0,0,22.525,,S,Mr
0,1,male,46,1,0,61.175,E31,S,Mr
0,3,female,32,8,2,69.55,,S,Miss
0,3,male,47,0,0,7.25,,S,Mr
1,2,female,21,0,0,10.5,,S,Miss
1,3,female,31,1,1,20.525,,S,Mrs
1,2,female,34,0,0,10.5,F33,S,Mrs
1,1,female,39,0,0,79.2,,C,Mrs
0,1,male,54,0,0,51.8625,E46,S,Mr
0,3,male,24,2,0,24.15,,S,Mr
0,3,male,38,0,0,7.2292,,C,Mr
1,3,female,36,0,0,7.75,,Q,Miss
0,3,male,74,0,0,7.775,,S,Mr
0,3,male,29,0,0,8.05,,S,Mr
0,1,male,33,0,0,5.0,B51 B53 B55,S,Mr
0,3,male,45,0,0,6.975,,S,Mr
1,2,male,42,0,0,13.0,,S,Mr
1,1,female,23,1,0,113.275,D36,C,Miss
0,3,male,25,0,0,7.225,,C,Mr
0,3,male,32,1,0,15.85,,S,Mr
0,2,male,23,0,0,13.0,,S,Mr
1,1,female,47,1,1,52.5542,D35,S,Mrs
1,1,female,49,1,0,76.7292,D33,C,Mrs
0,3,female,31,1,0,18.0,,S,Mrs
1,1,female,38,1,0,133.65,,S,Mrs
0,3,male,32,0,0,7.8958,,S,Mr
0,1,male,60,0,0,26.55,,S,Rare
0,2,male,25,0,0,13.0,,S,Mr
0,3,male,42,0,1,8.4042,,S,Mr
0,3,male,33,0,0,7.8958,,S,Mr
0,3,male,30,1,0,15.5,,Q,Mr
0,1,male,40,0,0,35.0,C128,S,Mr
0,2,male,47,0,0,15.0,,S,Mr
0,3,male,39,2,0,21.6792,,C,Mr
1,2,female,28,0,0,12.65,,S,Mrs
1,2,male,0,1,1,14.5,,S,Master
0,3,male,16,0,0,7.2292,,C,Mr
0,3,male,41,2,0,14.1083,,S,Mr
1,2,female,4,1,1,23.0,,S,Miss
1,3,female,40,0,0,7.75,,Q,Miss
1,2,female,45,1,1,26.25,,S,Mrs
0,3,male,20,0,0,7.8542,,S,Mr
0,1,male,33,0,0,0.0,B102,S,Mr
0,3,male,35,0,0,8.05,,S,Mr
1,2,male,32,1,0,26.0,,S,Mr
0,3,female,39,0,0,8.05,,S,Mrs
0,3,male,32,0,0,7.8958,,S,Mr
0,1,male,29,0,0,30.0,D6,S,Mr
0,3,male,39,1,5,31.275,,S,Mr
1,1,male,60,1,1,79.2,B41,C,Mr
0,3,female,9,3,2,27.9,,S,Miss
0,2,male,19,1,1,36.75,,S,Mr
1,3,female,41,1,1,22.3583,F E69,C,Miss
1,3,female,35,0,0,7.8792,,Q,Miss
0,3,male,33,8,2,69.55,,S,Master
1,3,male,27,0,0,7.7958,,S,Mr
1,3,male,32,0,0,56.4958,,S,Mr
1,2,female,29,1,0,26.0,,S,Mrs
1,2,female,36,0,0,13.0,,S,Miss
1,2,female,27,0,0,10.5,E101,S,Miss
0,3,male,28,0,0,7.2292,,C,Mr
0,3,male,20,0,0,7.05,,S,Mr
0,3,male,34,0,0,8.05,,S,Mr
0,1,male,64,1,4,263.0,C23 C25 C27,S,Mr
1,3,female,29,0,2,15.2458,,C,Mrs
0,1,male,58,0,0,29.7,B37,C,Mr
0,3,female,16,5,2,46.9,,S,Miss
1,2,female,34,0,1,23.0,,S,Mrs
0,3,male,19,0,0,8.05,,S,Mr
0,3,male,16,0,0,9.2167,,S,Mr
0,2,male,42,0,0,13.0,,S,Rare
1,1,female,37,0,1,55.0,E33,S,Mrs
1,3,female,26,0,0,7.8542,,S,Miss
1,2,male,1,0,2,37.0042,,C,Master
0,2,male,42,1,0,27.0,,S,Mr
1,1,female,30,0,0,93.5,B73,S,Miss
1,3,male,32,0,0,7.8542,,S,Mr
0,3,male,28,0,0,7.7958,,S,Mr
1,3,female,31,1,0,15.5,,Q,Miss
0,3,male,19,0,0,14.5,,S,Mr
1,3,male,4,1,1,11.1333,,S,Master
1,3,female,0,2,1,19.2583,,C,Miss
0,3,female,18,0,0,6.75,,Q,Miss
1,1,female,29,0,0,211.3375,B5,S,Miss
1,2,female,32,0,0,13.0,,S,Mrs
0,3,male,15,0,0,7.2292,,C,Mr
1,2,male,1,2,1,39.0,F4,S,Master
0,2,male,59,0,0,13.5,,S,Mr
0,3,male,28,0,0,9.5,,S,Mr
1,3,male,26,0,0,18.7875,,C,Mr
0,3,male,20,1,0,15.5,,Q,Mr
0,2,male,27,0,0,26.0,,S,Mr
0,3,male,16,0,0,15.1,,S,Mr
1,1,female,36,0,0,135.6333,C32,C,Miss
0,3,male,17,0,0,8.6625,,S,Mr
0,1,male,61,0,0,33.5,B19,S,Mr
0,3,male,18,0,0,7.775,,S,Mr
1,1,female,24,0,0,83.1583,C54,C,Miss
0,3,male,16,0,0,8.05,,S,Mr
0,3,female,24,0,2,7.75,,Q,Miss
0,3,male,35,0,0,8.05,,S,Mr
1,2,male,3,1,1,26.0,F2,S,Master
0,2,male,52,0,0,13.5,,S,Mr
0,3,male,33,1,1,20.525,,S,Mr
1,2,male,38,0,0,13.0,,S,Mr
0,3,male,38,8,2,69.55,,S,Mr
1,1,female,56,0,1,83.1583,C50,C,Mrs
